IngredientID,Name,A,B,C,D,E,(Base) Price,Taste,Touch,Smell,Sight,Sound,Type,Rarity,Location,magimin summary,Total Magimin,Magimin Balance,Magimin Ratio,Any,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,Abominable Tarantula,0,0,0,0,66,105,0,0,0,-5,5,Bug,Uncommon,Arctic,0:0:0:0:66,66,0:0:0:0:1,0.629,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2,Abyssalite,30,20,0,0,10,79,0,0,0,0,0,Mineral,Uncommon,Ocean Coasts,30:20:0:0:10,60,3:2:0:0:1,0.759,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,Acid Pitfall Plant,16,0,40,0,40,145,0,0,0,0,0,Plant,Uncommon,Sulfuric Falls,16:0:40:0:40,96,2:0:5:0:5,0.662,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4,Acid Rutabaga,0,48,0,0,0,54,-5,0,0,0,5,Plant,Common,Sulfuric Falls,0:48:0:0:0,48,0:1:0:0:0,0.889,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
5,Amethyst Ore,66,66,0,0,33,206,0,0,0,0,-5,Ores,Uncommon,Dragon Oasis,66:66:0:0:33,165,2:2:0:0:1,0.801,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,Amphitere's Shadow,44,0,44,0,0,114,0,0,0,0,0,Essences,Common,Dragon Oasis,44:0:44:0:0,88,1:0:1:0:0,0.772,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
7,Antlered Jelly,30,0,0,0,0,28,0,-5,0,5,0,Slime,Uncommon,Storm Plains,30:0:0:0:0,30,1:0:0:0:0,1.071,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
8,Arcane Quartz,84,0,0,84,42,264,0,0,0,0,-5,Gem,Uncommon,Magical Wasteland,84:0:0:84:42,210,2:0:0:2:1,0.795,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,Arcane Truffle,0,42,42,42,42,236,0,0,0,0,0,Fungus,Rare,Magical Wasteland,0:42:42:42:42,168,0:1:1:1:1,0.712,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,Armored Pudding,44,0,0,44,0,115,0,0,0,0,0,Slime,Common,Crater,44:0:0:44:0,88,1:0:0:1:0,0.765,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
11,Avalanche Cricket,24,24,32,32,0,140,5,-5,0,0,0,Bug,Common,Ice Craggs,24:24:32:32:0,112,3:3:4:4:0,0.800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,Banshee's Bloody Tongue,0,40,0,0,0,32,0,0,-5,0,0,Flesh,Common,Shadow Steppe,0:40:0:0:0,40,0:1:0:0:0,1.250,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
13,Barghast Canine,0,30,0,0,10,55,0,0,0,0,0,Bone,Rare,Shadow Steppe,0:30:0:0:10,40,0:3:0:0:1,0.727,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
14,Barracuda Plant,22,55,0,0,55,172,0,0,0,0,0,Plant,Common,Crater,22:55:0:0:55,132,2:5:0:0:5,0.767,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
