RecipeID,Recipe Name,Tier,Recipe Summary,Brew Summary,Amount of Ingredients,Amount of Potions,Total Magimin,Rarity,Stars,Cost,Value,Profit,Profit Ratio,Unique ingredient string,Unique Ingredient ID's,,,,,,,,,,,,,,count unique ingredients,,,,,,,,,,,,,
perf1,Fire Tonic,1,2x Amphitere's Shadow,1x Greater Fire Tonic 1*,2,1,176,Greater,1,228,103,-125,-0.550,6,6,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0
perf2,Fire Tonic,1,3x Amphitere's Shadow,1x Greater Fire Tonic 5*,3,1,264,Greater,5,342,164,-178,-0.520,6,6,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
perf3,Fire Tonic,1,4x Amphitere's Shadow,2x Grand Fire Tonic 2*,4,2,352,Grand,2,456,519,63,0.138,6,6,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0
perf4,Fire Tonic,1,5x Amphitere's Shadow,2x Grand Fire Tonic 5*,5,2,440,Grand,5,570,739,169,0.296,6,6,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0
perf5,Fire Tonic,1,6x Amphitere's Shadow,3x Superior Fire Tonic 1*,6,3,528,Superior,1,684,1557,873,1.276,6,6,,,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0
perf6,Fire Tonic,1,7x Amphitere's Shadow,3x Superior Fire Tonic 3*,7,3,616,Superior,3,798,1971,1173,1.469,6,6,,,,,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
perf7,Fire Tonic,1,8x Amphitere's Shadow,4x Superior Fire Tonic 5*,8,4,704,Superior,5,912,3325,2413,2.646,6,6,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0
perf8,Fire Tonic,1,9x Amphitere's Shadow,4x Masterwork Fire Tonic 0*,9,4,792,Masterwork,0,1026,4152,3126,3.047,6,6,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
perf9,Fire Tonic,1,10x Amphitere's Shadow,5x Masterwork Fire Tonic 2*,10,5,880,Masterwork,2,1140,6568,5428,4.762,6,6,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0
perf10,Fire Tonic,1,11x Amphitere's Shadow,5x Masterwork Fire Tonic 3*,11,5,968,Masterwork,3,1254,7389,6135,4.893,6,6,,,,,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0
perf11,Fire Tonic,1,12x Amphitere's Shadow,6x Masterwork Fire Tonic 3*,12,6,1056,Masterwork,3,1368,8867,7499,5.482,6,6,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0
